Domain,MCP_URL
ashbyhq.com,https://mcp.ashbyhq.com/.well-known/mcp-server
askable.com,https://mcp.askable.com/.well-known/mcp-server
askturing.ai,https://mcp.askturing.ai/.well-known/mcp-server
aspirelearning.app,https://mcp.aspirelearning.app/.well-known/mcp-server
asset-industrial.com,https://mcp.asset-industrial.com/.well-known/mcp-server
asteroid.ai,https://mcp.asteroid.ai/.well-known/mcp-server
astra-sa.com,https://mcp.astra-sa.com/.well-known/mcp-server
astrasync.ai,https://mcp.astrasync.ai/.well-known/mcp-server
astrologyapi.com,https://mcp.astrologyapi.com/.well-known/mcp-server
athenium.com,https://mcp.athenium.com/.well-known/mcp-server
atiaustralia.edu.au,https://mcp.atiaustralia.edu.au/.well-known/mcp-server
atlan.com,https://mcp.atlan.com/.well-known/mcp-server
atlar.com,https://mcp.atlar.com/.well-known/mcp-server
atlaspeople.io,https://mcp.atlaspeople.io/.well-known/mcp-server
atlasx.co,https://mcp.atlasx.co/.well-known/mcp-server
atlys.com,https://mcp.atlys.com/.well-known/mcp-server
atm-maggioli.es,https://mcp.atm-maggioli.es/.well-known/mcp-server
atom.com,https://mcp.atom.com/.well-known/mcp-server
atomic.supply,https://mcp.atomic.supply/.well-known/mcp-server
atominvest.co,https://mcp.atominvest.co/.well-known/mcp-server
atqor.com,https://mcp.atqor.com/.well-known/mcp-server
atriumdata.ai,https://mcp.atriumdata.ai/.well-known/mcp-server
attio.com,https://mcp.attio.com/.well-known/mcp-server
attomdata.com,https://mcp.attomdata.com/.well-known/mcp-server
attributionapp.com,https://mcp.attributionapp.com/.well-known/mcp-server
audens-avocats.com,https://mcp.audens-avocats.com/.well-known/mcp-server
audible.com,https://mcp.audible.com/.well-known/mcp-server
audiencelab.io,https://mcp.audiencelab.io/.well-known/mcp-server
audiopod.ai,https://mcp.audiopod.ai/.well-known/mcp-server
audioscape.ai,https://mcp.audioscape.ai/.well-known/mcp-server
auglio.com,https://mcp.auglio.com/.well-known/mcp-server
augursecurity.com,https://mcp.augursecurity.com/.well-known/mcp-server
aurait.ai,https://mcp.aurait.ai/.well-known/mcp-server
aurelian.com,https://mcp.aurelian.com/.well-known/mcp-server
austintechnology.com.au,https://mcp.austintechnology.com.au/.well-known/mcp-server
authing.cn,https://mcp.authing.cn/.well-known/mcp-server
authzed.com,https://mcp.authzed.com/.well-known/mcp-server
autobahnporsche.com,https://mcp.autobahnporsche.com/.well-known/mcp-server
autobooks.co,https://mcp.autobooks.co/.well-known/mcp-server
autonimate.com,https://mcp.autonimate.com/.well-known/mcp-server
autosana.ai,https://mcp.autosana.ai/.well-known/mcp-server
avalara.com,https://mcp.avalara.com/.well-known/mcp-server
avertro.com,https://mcp.avertro.com/.well-known/mcp-server
avmap.it,https://mcp.avmap.it/.well-known/mcp-server
avo.app,https://mcp.avo.app/.well-known/mcp-server
avoma.com,https://mcp.avoma.com/.well-known/mcp-server
awo.agency,https://mcp.awo.agency/.well-known/mcp-server
axify.io,https://mcp.axify.io/.well-known/mcp-server
axiocap.com,https://mcp.axiocap.com/.well-known/mcp-server
axiom.co,https://mcp.axiom.co/.well-known/mcp-server
axiommath.ai,https://mcp.axiommath.ai/.well-known/mcp-server
ayana.com,https://mcp.ayana.com/.well-known/mcp-server
azion.com,https://mcp.azion.com/.well-known/mcp-server
azxa.io,https://mcp.azxa.io/.well-known/mcp-server
b.capital,https://mcp.b.capital/.well-known/mcp-server
b12.io,https://mcp.b12.io/.well-known/mcp-server
babbl-labs.com,https://mcp.babbl-labs.com/.well-known/mcp-server
babyjourney.se,https://mcp.babyjourney.se/.well-known/mcp-server
backstage.com,https://mcp.backstage.com/.well-known/mcp-server
backstory.ai,https://mcp.backstory.ai/.well-known/mcp-server
backyardbrains.com,https://mcp.backyardbrains.com/.well-known/mcp-server
badgermapping.com,https://mcp.badgermapping.com/.well-known/mcp-server
badideas.fund,https://mcp.badideas.fund/.well-known/mcp-server
bagel.ai,https://mcp.bagel.ai/.well-known/mcp-server
bajajbroking.in,https://mcp.bajajbroking.in/.well-known/mcp-server
banked.com,https://mcp.banked.com/.well-known/mcp-server
barakadates.com,https://mcp.barakadates.com/.well-known/mcp-server
baredfootwear.com,https://mcp.baredfootwear.com/.well-known/mcp-server
baremetrics.com,https://mcp.baremetrics.com/.well-known/mcp-server
barrowscs.com,https://mcp.barrowscs.com/.well-known/mcp-server
base.org,https://mcp.base.org/.well-known/mcp-server
base39.com.br,https://mcp.base39.com.br/.well-known/mcp-server
base8.io,https://mcp.base8.io/.well-known/mcp-server
basicops.com,https://mcp.basicops.com/.well-known/mcp-server
baston.com.br,https://mcp.baston.com.br/.well-known/mcp-server
battery.com,https://mcp.battery.com/.well-known/mcp-server
baxtel.com,https://mcp.baxtel.com/.well-known/mcp-server
bazaart.com,https://mcp.bazaart.com/.well-known/mcp-server
bazaro.se,https://mcp.bazaro.se/.well-known/mcp-server
bazze.io,https://mcp.bazze.io/.well-known/mcp-server
bdex.com,https://mcp.bdex.com/.well-known/mcp-server
bdg.io,https://mcp.bdg.io/.well-known/mcp-server
bdtax.com.bd,https://mcp.bdtax.com.bd/.well-known/mcp-server
be.impact,https://mcp.be.impact/.well-known/mcp-server
beachbossinfluencers.com,https://mcp.beachbossinfluencers.com/.well-known/mcp-server
beannbeancoffee.com,https://mcp.beannbeancoffee.com/.well-known/mcp-server
beaufort12.com,https://mcp.beaufort12.com/.well-known/mcp-server
beautech.aero,https://mcp.beautech.aero/.well-known/mcp-server
bebakids.com,https://mcp.bebakids.com/.well-known/mcp-server
becomap.com,https://mcp.becomap.com/.well-known/mcp-server
beemdata.com,https://mcp.beemdata.com/.well-known/mcp-server
beetshospitality.com,https://mcp.beetshospitality.com/.well-known/mcp-server
beforeyoubuy.com.au,https://mcp.beforeyoubuy.com.au/.well-known/mcp-server
befreed.ai,https://mcp.befreed.ai/.well-known/mcp-server
begolden.com.pl,https://mcp.begolden.com.pl/.well-known/mcp-server
beimpact.org,https://mcp.beimpact.org/.well-known/mcp-server
bellwetherit.com,https://mcp.bellwetherit.com/.well-known/mcp-server
benchmarkminerals.com,https://mcp.benchmarkminerals.com/.well-known/mcp-server
bendy.nl,https://mcp.bendy.nl/.well-known/mcp-server
bentleylewis.com,https://mcp.bentleylewis.com/.well-known/mcp-server
bentoengine.com,https://mcp.bentoengine.com/.well-known/mcp-server
besample.app,https://mcp.besample.app/.well-known/mcp-server
besignal.com,https://mcp.besignal.com/.well-known/mcp-server
better-auth.com,https://mcp.better-auth.com/.well-known/mcp-server
betterbugs.io,https://mcp.betterbugs.io/.well-known/mcp-server
betterleap.com,https://mcp.betterleap.com/.well-known/mcp-server
betterstack.com,https://mcp.betterstack.com/.well-known/mcp-server
beveldata.com,https://mcp.beveldata.com/.well-known/mcp-server
beverage360.io,https://mcp.beverage360.io/.well-known/mcp-server
beycome.com,https://mcp.beycome.com/.well-known/mcp-server
