Domain,Authentication_Method,Risk_Level
carriyo.com,OAuth 2.0,Low
cars24.com,OAuth 2.0,Low
cartage.club,OAuth 2.0,Low
casablanca.at,OAuth 2.0,Low
casadosaber.com.br,OAuth 2.0,Low
casebook.net,OAuth 2.0,Low
casestatus.com,OAuth 2.0,Low
cashcow.com,OAuth 2.0,Low
cashflowfrog.com,OAuth 2.0,Low
cashfree.com,OAuth 2.0,Low
caspio.com,OAuth 2.0,Low
castawaycustoms.com,OAuth 2.0,Low
castlms.com,OAuth 2.0,Low
catalogit.app,OAuth 2.0,Low
catchpoint.com,OAuth 2.0,Low
catsy.com,OAuth 2.0,Low
cavai.com,OAuth 2.0,Low
cbinsights.com,OAuth 2.0,Low
ccare.org.au,OAuth 2.0,Low
ceel.io,OAuth 2.0,Low
ceo-cf.com,OAuth 2.0,Low
ceramic.ai,OAuth 2.0,Low
ceres.ai,OAuth 2.0,Low
ceresimaging.net,OAuth 2.0,Low
ceroresiduo.com,OAuth 2.0,Low
cevoid.com,OAuth 2.0,Low
cevro.ai,OAuth 2.0,Low
cezamemusic.com,OAuth 2.0,Low
ch7.com,OAuth 2.0,Low
chainstack.com,OAuth 2.0,Low
changdobels.se,OAuth 2.0,Low
chanjet.com,OAuth 2.0,Low
channel99.com,OAuth 2.0,Low
channelkey.com,OAuth 2.0,Low
chargebee.com,OAuth 2.0,Low
chariow.com,OAuth 2.0,Low
chartmetric.com,OAuth 2.0,Low
chatfunnel.com.br,OAuth 2.0,Low
checkhq.com,OAuth 2.0,Low
checkhub.io,OAuth 2.0,Low
checkr.com,OAuth 2.0,Low
cheersin.com,OAuth 2.0,Low
chetto.ai,OAuth 2.0,Low
chift.eu,OAuth 2.0,Low
chimnie.com,OAuth 2.0,Low
chimpx.ai,OAuth 2.0,Low
chipax.com,OAuth 2.0,Low
chisellabs.com,OAuth 2.0,Low
chonkie.ai,OAuth 2.0,Low
chordian.ai,OAuth 2.0,Low
chowdeck.com,OAuth 2.0,Low
ci-hub.com,OAuth 2.0,Low
cibc.com,OAuth 2.0,Low
cimri.com,OAuth 2.0,Low
cinch.com,OAuth 2.0,Low
cincopa.com,OAuth 2.0,Low
cinde.es,OAuth 2.0,Low
cinode.com,OAuth 2.0,Low
cirra.ai,OAuth 2.0,Low
civils.ai,OAuth 2.0,Low
cizgi.net,OAuth 2.0,Low
clappia.com,OAuth 2.0,Low
claravine.com,OAuth 2.0,Low
clarify.io,OAuth 2.0,Low
clarity.ai,OAuth 2.0,Low
classavo.com,OAuth 2.0,Low
classdojo.com,OAuth 2.0,Low
classe365.com,OAuth 2.0,Low
clazar.io,OAuth 2.0,Low
cleanhealthgroup.com,OAuth 2.0,Low
cleanslatedemolition.co.uk,OAuth 2.0,Low
clearer.io,OAuth 2.0,Low
cleartrip.com,OAuth 2.0,Low
clemta.com,OAuth 2.0,Low
cleo.com,OAuth 2.0,Low
clerk.ai,OAuth 2.0,Low
clerk.com,OAuth 2.0,Low
clerk.dev,OAuth 2.0,Low
cles.org,OAuth 2.0,Low
cleverly.de,OAuth 2.0,Low
clickflare.com,OAuth 2.0,Low
clickrain.com,OAuth 2.0,Low
clickup.com,OAuth 2.0,Low
clientacquisition.io,OAuth 2.0,Low
climateactiondata.org,OAuth 2.0,Low
climatiq.io,OAuth 2.0,Low
clinicadoleite.com.br,OAuth 2.0,Low
clint.digital,OAuth 2.0,Low
clipma.com,OAuth 2.0,Low
clockodo.com,OAuth 2.0,Low
clockworkrecruiting.com,OAuth 2.0,Low
clootrack.com,OAuth 2.0,Low
close.com,OAuth 2.0,Low
closedloop.ai,OAuth 2.0,Low
cloudamize.com,OAuth 2.0,Low
cloudcasa.io,OAuth 2.0,Low
cloudchipr.com,OAuth 2.0,Low
cloudeagle.ai,OAuth 2.0,Low
cloudflare.com,OAuth 2.0,Low
cloudglue.dev,OAuth 2.0,Low
cloudgov.ai,OAuth 2.0,Low
cloudshare.com,OAuth 2.0,Low
cloudsquid.io,OAuth 2.0,Low
cloverleaf.ai,OAuth 2.0,Low
clozd.com,OAuth 2.0,Low
clubecerto.com.br,OAuth 2.0,Low
cmercury.com,OAuth 2.0,Low
coastapp.com,OAuth 2.0,Low
coc.cv,OAuth 2.0,Low
cocooncenter.com,OAuth 2.0,Low
codease.io,OAuth 2.0,Low
codedthemes.com,OAuth 2.0,Low
codegen.com,OAuth 2.0,Low
codspeed.io,OAuth 2.0,Low
cofi.ai,OAuth 2.0,Low
cohley.com,OAuth 2.0,Low
coinex.com,OAuth 2.0,Low
coinmarketcap.com,OAuth 2.0,Low
coinpaprika.com,OAuth 2.0,Low
coinquant.ai,OAuth 2.0,Low
coinstats.app,OAuth 2.0,Low
coliving.com,OAuth 2.0,Low
collegepulse.com,OAuth 2.0,Low
combidesk.com,OAuth 2.0,Low
comet.rocks,OAuth 2.0,Low
cometchat.com,OAuth 2.0,Low
comillas.edu,OAuth 2.0,Low
commandcode.ai,OAuth 2.0,Low
commented.io,OAuth 2.0,Low
commonroom.io,OAuth 2.0,Low
commonscompany.com,OAuth 2.0,Low
community.com,OAuth 2.0,Low
communitypluscare.ca,OAuth 2.0,Low
companion.energy,OAuth 2.0,Low
companyenrich.com,OAuth 2.0,Low
compiler-explorer.com,OAuth 2.0,Low
compliancely.com,OAuth 2.0,Low
comscore.com,OAuth 2.0,Low
concord.app,OAuth 2.0,Low
cones.com,OAuth 2.0,Low
confident-ai.com,OAuth 2.0,Low
conjura.com,OAuth 2.0,Low
connect-x.tech,OAuth 2.0,Low
consensus.app,OAuth 2.0,Low
constructions-3d.com,OAuth 2.0,Low
construflow.com.br,OAuth 2.0,Low
consultant.net.ua,OAuth 2.0,Low
contable.app,OAuth 2.0,Low
contaja.com.br,OAuth 2.0,Low
content.one,OAuth 2.0,Low
contentcatalyst.com,OAuth 2.0,Low
contentful.com,OAuth 2.0,Low
contentignite.com,OAuth 2.0,Low
contentstudio.io,OAuth 2.0,Low
conteshop.nl,OAuth 2.0,Low
contextqa.com,OAuth 2.0,Low
continue.co,OAuth 2.0,Low
contractworkplaces.com,OAuth 2.0,Low
controlle.com,OAuth 2.0,Low
converge.it,OAuth 2.0,Low
conversionmediagroup.com,OAuth 2.0,Low
convertor.se,OAuth 2.0,Low
convesio.com,OAuth 2.0,Low
convex.dev,OAuth 2.0,Low
conveyor.com,OAuth 2.0,Low
conviva.ai,OAuth 2.0,Low
coolset.com,OAuth 2.0,Low
coolshop.com,OAuth 2.0,Low
cooroundtable.com,OAuth 2.0,Low
copilot.money,OAuth 2.0,Low
copilotkit.ai,OAuth 2.0,Low
cordova.com,OAuth 2.0,Low
coresignal.com,OAuth 2.0,Low
coretava.com,OAuth 2.0,Low
coris.ai,OAuth 2.0,Low
corneliajames.com,OAuth 2.0,Low
coros.com,OAuth 2.0,Low
cortea.ai,OAuth 2.0,Low
cortex.io,OAuth 2.0,Low
cosmitude.com,OAuth 2.0,Low
costplusdrugs.com,OAuth 2.0,Low
cotality.com,OAuth 2.0,Low
cottages.com,OAuth 2.0,Low
coupler.io,OAuth 2.0,Low
courier.com,OAuth 2.0,Low
coval.ai,OAuth 2.0,Low
covu.com,OAuth 2.0,Low
cpic.or.cr,OAuth 2.0,Low
cplace.com,OAuth 2.0,Low
cquencehealth.com,OAuth 2.0,Low
craft.io,OAuth 2.0,Low
creatordb.app,OAuth 2.0,Low
credibledata.com,OAuth 2.0,Low
creditmountain.co,OAuth 2.0,Low
credix.finance,OAuth 2.0,Low
credplatform.com,OAuth 2.0,Low
credyt.ai,OAuth 2.0,Low
cremedelacreme.io,OAuth 2.0,Low
crewos.io,OAuth 2.0,Low
crono.one,OAuth 2.0,Low
crossbeam.com,OAuth 2.0,Low
crowdfox.pro,OAuth 2.0,Low
crowdin.com,OAuth 2.0,Low
crowdreply.io,OAuth 2.0,Low
crstl.ai,OAuth 2.0,Low
crustdata.com,OAuth 2.0,Low
cruva.com,OAuth 2.0,Low
cruworldwine.com,OAuth 2.0,Low
crypto.com,OAuth 2.0,Low
cryptoquant.com,OAuth 2.0,Low
cryptorefills.com,OAuth 2.0,Low
crystalknows.com,OAuth 2.0,Low
crystallize.com,OAuth 2.0,Low
cscale.io,OAuth 2.0,Low
csllcnow.com,OAuth 2.0,Low
cst.co.uk,OAuth 2.0,Low
cta.tech,OAuth 2.0,Low
cuballama.com,OAuth 2.0,Low
cubesoftware.com,OAuth 2.0,Low
cubitrek.com,OAuth 2.0,Low
cuckooworkout.com,OAuth 2.0,Low
cuelinks.com,OAuth 2.0,Low
cuemath.com,OAuth 2.0,Low
cumar.com.ar,OAuth 2.0,Low
cumbuca.com,OAuth 2.0,Low
curate.co,OAuth 2.0,Low
curemedia.com,OAuth 2.0,Low
curri.com,OAuth 2.0,Low
cushingterrell.com,OAuth 2.0,Low
cusip.com,OAuth 2.0,Low
customer.io,OAuth 2.0,Low
customerly.io,OAuth 2.0,Low
customerscore.io,OAuth 2.0,Low
customily.com,OAuth 2.0,Low
cuure.com,OAuth 2.0,Low
cxplanner.com,OAuth 2.0,Low
cyberday.ai,OAuth 2.0,Low
cyberwave.com,OAuth 2.0,Low
cycloid.io,OAuth 2.0,Low
cymulate.com,OAuth 2.0,Low
cypress.io,OAuth 2.0,Low
daemo.ai,OAuth 2.0,Low
daloopa.com,OAuth 2.0,Low
dana.id,OAuth 2.0,Low
dancingdeadrecords.com,OAuth 2.0,Low
danelfin.com,OAuth 2.0,Low
daniel-ip.com,OAuth 2.0,Low
dapta.ai,OAuth 2.0,Low
darkmatter.is,OAuth 2.0,Low
dartai.com,OAuth 2.0,Low
dash.fi,OAuth 2.0,Low
